1,A,Dijiang,M,CHN
2,A,Lamusi,M,CHN
3,Gunnar,Aaby,M,DEN
4,Edgar,Aabye,M,DEN
5,Christine,Aaftink,F,NED
6,Per,Aaland,M,USA
7,John,Aalberg,M,USA
8,Cornelia,(-Strannood),F,NED
9,Antti,Aalto,M,FIN
10,Einar,Aalto,M,FIN
11,Jorma,Aalto,M,FIN
12,Jyri,Aalto,M,FIN
13,Minna,Aalto,F,FIN
14,Pirjo,(Mattila-),F,FIN
15,Arvo,Aaltonen,M,FIN
16,Juhamatti,Aaltonen,M,FIN
17,Paavo,Aaltonen,M,FIN
18,Timo,Aaltonen,M,FIN
19,Win,Aaltonen,M,FIN
20,Kjetil,Aamodt,M,NOR
21,Ragnhild,Aamodt,F,NOR
22,Andreea,Aanei,F,ROU
23,Fritz,Aanes,M,NOR
24,Nils,Aaness,M,NOR
25,Alf,Aanning,M,NOR
26,Agnes,(-Eyde),F,NOR
27,Johan,Aantjes,M,NED
28,Jan-Erik,Aarberg,M,NOR
29,Willemien,Aardenburg,F,NED
30,Pepijn,Aardewijn,M,NED
31,Evald,(rman-),M,EST
32,Olav,Aarnes,M,NOR
33,Mika,Aarnikka,M,FIN
34,Jamale,(Ahrass-),M,FRA
35,Dagfinn,Aarskog,M,NOR
36,Stefan,Aartsen,M,NED
37,Ann,Aarnes,F,NOR
38,Karl,Aas,M,NOR
39,Lars,Aas,M,NOR
40,Roald,Aas,M,NOR
41,Rolf,Aas,M,NOR
42,Thomas,Aas,M,NOR
43,Morten,Aasen,M,NOR
44,Meelis,Aasme,M,EST
45,Hakon,Aasns,M,NOR
46,Hans,Aasns,M,NOR
47,Erling,Aastad,M,NOR
48,Abdelhak,Aatakni,M,MAR
49,Moonika,Aava,F,EST
50,Arvi,Aavik,M,EST
51,Nstor,Sanjun,M,ESP
52,Patrick,Abada,M,FRA
53,Talaat,Abada,M,EGY
54,Mohamed,Abadi,M,IRI
55,Antonio,Beci,M,ESP
56,Ren,Abadie,M,FRA
57,Borislav,Abadzhiev,M,BUL
58,Georgi,Abadzhiev,M,BUL
59,Ivan,Abadzhiev,M,BUL
60,Mikhail,Abadzhiev,M,BUL
61,Stefan,Abadzhiev,M,BUL
62,Giovanni,Abagnale,M,ITA
63,Jos,Gmez,M,ESP
64,M'Bairo,Abakar,M,CHA
65,Patimat,Abakarova,F,AZE
66,Mohamed,Abakkar,M,SUD
67,Mariya,(-Tarabina),F,RUS
68,Pablo,Abal,M,ARG
69,Tamara,Daz,F,ESP
70,Jess,Martnez,M,CUB
71,Juan,Delgado,M,CUB
72,Aleksey,Abalmasov,M,BLR
73,Luc,Abalo,M,FRA
74,Mara,Abalo,F,ARG
75,Giorgos,Abalof,M,GRE
76,Jouan,Etong,M,CMR
77,Antoine,Abang,M,CMR
78,Salim,Abanoz,M,TUR
79,Carlos,Gonzlez,M,CHI
80,Jos,Plotas,M,ESP
81,Georgios,Abaris,M,GRE
82,Enrique,Martnez,M,MEX
83,Carlos,Chavez,M,CHI
84,Stephen,Abas,M,USA
85,Alejandro,Garca,M,ESP
86,Jos,Gmez,M,ESP
87,Rost'om,Abashidze,M,URS
88,Nunu,(-Myslaieva),F,URS
89,Rodrigo,Abasolo,M,CHI
90,Tamila,Abasova,F,RUS
91,Emanuele,Abate,M,ITA
92,Ignazio,Abate,M,ITA
93,Jol,Abati,M,FRA
94,Ral,Abatte,M,CHI
95,Georgia,Abatzidou,F,GRE
96,Carlos,Balladares,M,NCA
97,Carlos,Abaunza,M,NCA
98,Hctor,Abaunza,M,MEX
99,Pter,Abay,M,HUN
100,Oszkr,Abay-Nemes,M,HUN
101,Adeyemi,Abayomi,M,NGR
102,Sayed,Abaza,M,EGY
103,Silvano,Abba,M,ITA
104,Gana,Kimet,M,CHA
105,Ilyas,Abbadi,M,ALG
106,Agostino,Abbagnale,M,ITA
107,Carmine,Abbagnale,M,ITA
108,Giuseppe,Abbagnale,M,ITA
109,Abdul,Hashem,M,KUW
110,Abubakar,Abbas,M,BRN
111,Aqarab,Abbas,M,PAK
112,Aziz,Abbas,M,IRQ
113,Bassim,Al-Ogaili,M,IRQ
114,Essa,Hashem,M,KUW
115,Ghulam,Abbas,M,PAK
116,Hosni,Abbas,M,UAR
117,Maher,Abbas,M,LIB
118,Mahmoud,Abbas,M,EGY
119,Mohamed,Abbas,M,EGY
120,Mohammed,Sabih,M,IRQ
121,Muhammad,Abbas,M,PAK
122,Nader,Abbas,M,QAT
123,Sohail,Abbas,M,PAK
124,Youssef,Abbas,M,EGY
125,Zulkifli,Abbas,M,MAS
126,Forough,Abbasi,F,IRI
127,Shakeel,Abbasi,M,PAK
128,Soulmaz,Azad,F,IRI
129,Ruslan,Abbasov,M,AZE
130,Tural,Abbasov,M,AZE
131,Tran,Abbasova,F,AZE
132,Simona,Abbate,F,ITA
133,Franz,Abb,M,GER
134,Christian,Abbiati,M,ITA
135,Lois,Abbingh,F,NED
136,Alessandro,Abbio,M,ITA
137,Giordano,Abbondati,M,ITA
138,Salwan,Abbood,M,IRQ
139,George,Abbot,M,GRE
140,William,Jr.,M,CAN
141,Clare,Abbott,F,IRL
142,David,Abbott,M,USA
143,Desmond,Abbott,M,AUS
144,Geoffrey,Abbott,M,RSA
145,Jeremy,Abbott,M,USA
146,Jeremy,Abbott,M,CAN
147,Joanne,Abbott,F,CAN
148,Kathryn,Abbott,F,CAN
149,Mara,Abbott,F,USA
150,Margaret,(-Dunne),F,USA
151,Mary,(Perkins-),F,USA
152,Matt,Abbott,M,CAN
153,Monica,Abbott,F,USA
154,Khadija,Abbouda,F,MAR
155,Mohamed,Mohamed,M,EGY
156,Mahmoud,El-Kader,M,EGY
157,Mohamed,El-Salam,M,EGY
158,Noha,Rabo,F,EGY
159,Reem,El-Bossaty,F,EGY
160,Ali,Afringi,M,ERI
161,Hossam,Abdalla,M,EGY
162,Hosam,Abdallah,M,EGY
163,Ismail,Abdallah,M,UAR
164,Maged,Abdallah,M,EGY
165,Nia,Abdallah,F,USA
166,Omari,Abdallah,M,TAN
167,Ould,Abdallah,M,FRA
168,Younis,Rabee,M,KUW
169,Raida,Bader,F,JOR
170,Maha,Gouda,F,EGY
171,Mahmoud,Aziz,M,EGY
172,Mohamed,Ellah,M,EGY
173,Mohamed,Fatah,M,SUD
174,Ali,Badawi,M,UAR
175,Abdelgani,Fattah,M,EGY
176,Mahmoud,Fattah,M,UAR
177,Mohamed,Fattah,M,EGY
